titulo,link
Economia,https://exame.com/economia/
Investimentos,https://www.cnnbrasil.com.br/tudo-sobre/investimentos/
Mercado,https://www.cnnbrasil.com.br/tudo-sobre/mercado/
Cotações,https://www.cnnbrasil.com.br/cotacoes/bolsa/
Macroeconomia,https://www.cnnbrasil.com.br/economia/macroeconomia/
"Bolsa Cai 0,44% E Dólar Sobe A R$ 5,66 Após Congelamento De Gastos",https://www.cnnbrasil.com.br/economia/mercado/mercado-financeiro-ibovespa-dolar-22-maio-2025/
Cmn Reduz Prazo Mínimo De Lcis E Lcas Sem Correção Pelo Ipca   22/05/2025 Às 20:23,https://www.cnnbrasil.com.br/economia/investimentos/cmn-reduz-prazo-minimo-de-lcis-e-lcas-sem-correcao-pelo-ipca/
Por Que O Mercado Reagiu De Forma Negativa Ao Anúncio Fiscal Do Governo?   22/05/2025 Às 20:23,https://www.cnnbrasil.com.br/economia/mercado/por-que-o-mercado-reagiu-de-forma-negativa-ao-anuncio-fiscal-do-governo/
"Compromisso De Investir No Brasil É O Mesmo, Diz Vp Do Mercado Livre   22/05/2025 Às 19:57",https://www.cnnbrasil.com.br/economia/negocios/compromisso-de-investir-no-brasil-e-o-mesmo-diz-vp-do-mercado-livre/
Ações De Wall Street Encerram Praticamente Estáveis ​​Em Pregão Instável   22/05/2025 Às 19:06,https://www.cnnbrasil.com.br/economia/mercado/acoes-de-wall-street-encerram-praticamente-estaveis-em-pregao-instavel/
Bolsa De Valores,https://www.cnnbrasil.com.br/tudo-sobre/bolsa-de-valores/
Iof: O Que É O Imposto Sobre Operações Financeiras E Quem Paga?,https://g1.globo.com/economia/noticia/2025/05/22/iof-o-que-e-o-imposto-sobre-operacoes-financeiras-e-quem-paga.ghtml
Mercado Pago,https://especiaispublicitarios.g1.globo.com/vqt-mercado-pago/
Mercado Imobiliário,https://g1.globo.com/go/goias/mercado-imobiliario/
As Ações Que A Xp Indica,https://lps.infomoney.com.br/masterclass-conheca-futuras-gigantes-bolsa-inscricao?utm_source=infomoney&utm_medium=hot-topic&utm_campaign=msc&utm_term=hiperlink&utm_content=menu
Mercados,https://www.infomoney.com.br/mercados/
Ibovespa,https://www.infomoney.com.br/cotacoes/b3/indice/ibovespa/
Juros Futuros,https://www.infomoney.com.br/ferramentas/juros-futuros-di/
Indicadores De Inflação,https://www.infomoney.com.br/ferramentas/inflacao/
Opções De Ações,https://www.infomoney.com.br/ferramentas/cotacoes-opcoes-de-acoes/
Simulador De Investimentos,https://www.infomoney.com.br/ferramentas/simulador-xp/
"Ibovespa Futuro Cai 1,9% E Dólar Futuro Salta 1,5% Com Repercussão De Aumento Do Iof",https://www.infomoney.com.br/mercados/ibovespa-futuro-cai-19-e-dolar-futuro-salta-15-com-repercussao-de-aumento-do-iof/
Renda Fixa Descomplicadaentenda Como Aproveitar A Alta Dos Juros Para Multiplicar O Seu Dinheiro,https://lps.infomoney.com.br/renda-fixa-descomplicada-inscricao?utm_source=infomoney&utm_medium=contesp&utm_campaign=rfd&utm_term=hiperlink&utm_content=subhome
Day Trader Perdeu R$ 400 Mil Até Ganhar Solidez De Operação No Mercado Financeiro,https://www.infomoney.com.br/mercados/leandro-moore-da-perda-consistencia-perdi-r-400-mil-para-aprender/
"Ibovespa Fecha Em Queda De 0,44% Com Petrobras E Anúncio Fiscal No Radar Com Iof",https://www.infomoney.com.br/mercados/ibovespa-fecha-em-queda-de-044-com-petrobras-e-anuncio-fiscal-no-radar-com-iof/
Bolsas De Ny Fecham Sem Direção Única; Fannie Mae E Freddie Mac Saltam Mais De 40%,https://www.infomoney.com.br/mercados/bolsas-de-ny-fecham-sem-direcao-unica-fannie-mae-e-freddie-mac-saltam-mais-de-40/
Ibovespa Fecha Em Queda Com Medidas Fiscais E Iof; Petrobras E Vale Descem,https://www.infomoney.com.br/mercados/ibovespa-hoje-bolsa-de-valores-ao-vivo-22052025/
"Juros Médios Caem Com Contenção De R$31,3 Bi De Gastos, Mas Iof Cria Ruídos",https://www.infomoney.com.br/mercados/juros-medios-caem-com-contencao-de-r313-bi-de-gastos-mas-iof-cria-ruidos/
"Ações De Empresa De Ryan Reynolds Sobem 48% Em Ny Após Ipo De R$ 1,05 Bilhão",https://www.infomoney.com.br/mercados/acoes-de-empresa-de-ryan-reynolds-sobem-48-em-ny-apos-ipo-de-r-105-bilhao/
"Exame - Negócios, Economia, Tecnologia E Carreira",https://exame.com/
"Governo Eleva Iof Para Vgbl, Para O Crédito De Empresas E Operações Cambiais",https://exame.com/economia/governo-eleva-iof-para-vgbl-para-o-credito-de-empresas-e-operacoes-cambiais/
Brasil Quer Liderar Transição Circular Para Crescer E Conquistar Novos Mercados,https://exame.com/economia/brasil-quer-liderar-transicao-circular-para-crescer-e-conquistar-novos-mercados/
Residências Entrarão No Mercado Livre De Energia Elétrica Em 2027,https://exame.com/economia/residencias-entrarao-no-mercado-livre-de-energia-eletrica-em-2027/
"Economia Da Argentina Cai 1,8% Na Comparação Mensal — Mas Cresce 5,6% Na Variação Anual",https://exame.com/economia/economia-da-argentina-cai-18-na-comparacao-mensal-mas-cresce-56-na-variacao-anual/
"Governo Corre Para Ressarcir Segurados Na Fraude Do Inss, Mas Esbarra Nas Complicações Jurídicas",https://exame.com/economia/governo-corre-para-ressarcir-segurados-na-fraude-do-inss-mas-esbarra-nas-complicacoes-juridicas/
Fraudes No Inss: Agu Diz Que Investigações Apontam Para Uso De Criptomoedas Para Esconder Desvios,https://exame.com/economia/fraudes-no-inss-agu-diz-que-investigacoes-apontam-para-uso-de-criptomoedas-para-esconder-desvios/
Economiacigarro É O Produto Mais Contrabandeado Do Brasil,https://exame.com/webstories/economia/cigarro-e-o-produto-mais-contrabandeado-do-brasil
"Economia'A Globalização Acabou', Diz Ceo Da América Latina De Gigante Multinacional De Construção",https://exame.com/webstories/economia/a-globalizacao-acabou-diz-ceo-da-america-latina-de-gigante-multinacional-de-construcao
"Economiamoody'S Rebaixa Nota Dos Eua, Que Deixa De Ser 'Aaa', Por Causa Do Aumento Da Dívida Pública",https://exame.com/webstories/economia/moodys-rebaixa-nota-dos-eua-que-deixa-de-ser-aaa-por-causa-do-aumento-da-divida-publica
Economiaentenda As Novas Regras Para Trabalho Em Domingos E Feriados; Veja Quando Começa,https://exame.com/webstories/economia/entenda-as-novas-regras-para-trabalho-em-domingos-e-feriados-veja-quando-comeca
Guia De Investimentos,https://exame.com/invest/guia/
